STT,Ngày tháng,Sân,Đội nhà,Đội khách,Tỷ số,Người ghi bàn đội nhà,Người ghi bàn đội khách,Link sân
1,16h00 - 18/07/2026,Cổ Nhuế,Việt Nhật FC,GODA FC,3 - 1,"20': Unknown, Unknown ","60': Unknown, Unknown  - 80': Unknown, Unknown  - 90': Unknown, Unknown ",https://maps.app.goo.gl/KoyeCaWrBjNVoyg46
2,16h00 - 26/07/2026,Nguyên Dương,GODA FC,,2 - 1,"85': Nguyễn Minh Quang, Unknown - 90+3': Phạm Hồng Thái, Unknown","80': Unknown, Unknown ",https://maps.app.goo.gl/k9rrrGwQikdfVTDFA
3,16h00 - 02/08/2026,Bắc Việt,Bắc Việt FC,GODA FC,1 - 1,"30' Trần Nguyên Bá, Trần Đình Thanh","85': Unknown, Unknown ",https://maps.app.goo.gl/dwVAQCR4ZAVYtkFD9
4,16h00 - 08/08/2026,Cổ Nhuế,Việt Nhật FC,GODA FC,,,,https://maps.app.goo.gl/KoyeCaWrBjNVoyg46
